geneid	pred_perf_R2	pred_perf_pval
ENSG00000107959	0.033497173	0.047282927
ENSG00000151632	0.161936418	6.26E-06
ENSG00000196372	0.129011754	6.49E-05
ENSG00000108021	0.063576404	0.005878616
ENSG00000057608	0.043395533	0.023592818
ENSG00000134461	0.044386538	0.022022075
ENSG00000151655	0.039844781	0.030226217
ENSG00000151657	0.072276123	0.003243343
ENSG00000148429	0.120840972	0.000114814
ENSG00000134463	0.231242698	3.56E-08
ENSG00000065665	0.065613974	0.005113811
ENSG00000183049	0.058981389	0.008052606
ENSG00000065328	0.087023055	0.001183389
ENSG00000065809	0.133565032	4.71E-05
ENSG00000165985	0.598119894	1.04E-24
ENSG00000148484	0.079857134	0.001932027
ENSG00000107614	0.161576549	6.43E-06
ENSG00000120586	0.136027198	3.96E-05
ENSG00000077420	0.048283339	0.016810895
ENSG00000120539	0.400884575	1.44E-14
ENSG00000183621	0.059312299	0.007872012
ENSG00000095794	0.034031496	0.045522806
ENSG00000189180	0.035747043	0.040317306
ENSG00000196693	0.148430351	1.65E-05
ENSG00000169826	0.182673387	1.39E-06
ENSG00000169740	0.091545608	0.00086808
ENSG00000107562	0.054822042	0.010712961
ENSG00000165511	0.054252445	0.011140706
ENSG00000172661	0.109628619	0.000249999
ENSG00000188234	0.223987536	6.22E-08
ENSG00000198250	0.094077449	0.00072968
ENSG00000128805	0.098375617	0.000543134
ENSG00000138294	0.033922809	0.045875233
ENSG00000204149	0.234412454	2.78E-08
ENSG00000099290	0.341746447	3.65E-12
ENSG00000204147	0.145098585	2.09E-05
ENSG00000107984	0.035716739	0.040403692
ENSG00000108064	0.084524076	0.001404128
ENSG00000122870	0.136919071	3.72E-05
ENSG00000170312	0.050682769	0.014244513
ENSG00000183346	0.399973265	1.57E-14
ENSG00000181915	0.046284335	0.019305212
ENSG00000179774	0.056663174	0.00944049
ENSG00000096746	0.044520429	0.021818201
ENSG00000138346	0.215293475	1.21E-07
ENSG00000138336	0.042038901	0.025930761
ENSG00000165730	0.063807755	0.005786295
ENSG00000165732	0.085836304	0.001283537
ENSG00000156510	0.035844197	0.040041637
ENSG00000156574	0.141090224	2.77E-05
ENSG00000107731	0.088210159	0.001090999
ENSG00000138303	0.054623218	0.010860351
ENSG00000148719	0.135287137	4.18E-05
ENSG00000138315	0.036486869	0.03826652
ENSG00000166321	0.237416299	2.20E-08
ENSG00000166507	0.045982156	0.019713784
ENSG00000148655	0.167798874	4.10E-06
ENSG00000151208	0.30895368	6.42E-11
ENSG00000188199	0.047364968	0.017913331
ENSG00000133661	0.461973479	2.62E-17
ENSG00000189129	0.21986854	8.54E-08
ENSG00000165678	0.100180159	0.000479733
ENSG00000182771	0.04655566	0.018945709
ENSG00000173269	0.055569937	0.010176401
ENSG00000184923	0.172140119	2.99E-06
ENSG00000214562	0.042549839	0.025023605
ENSG00000138134	0.033616301	0.046884471
ENSG00000026103	0.101592567	0.000435285
ENSG00000138135	0.065084489	0.005302381
ENSG00000119922	0.047936837	0.017218505
ENSG00000119917	0.046852447	0.018560265
ENSG00000152778	0.19724947	4.71E-07
ENSG00000138182	0.083850729	0.001470324
ENSG00000148688	0.046801632	0.018625689
ENSG00000119938	0.082417433	0.001621769
ENSG00000138160	0.046452782	0.019081211
ENSG00000148690	0.280827813	6.79E-10
ENSG00000176273	0.04401554	0.022597203
ENSG00000138193	0.107616419	0.000287304
ENSG00000095637	0.046047793	0.019624294
ENSG00000107443	0.039188142	0.031648903
ENSG00000187122	0.265644524	2.34E-09
ENSG00000241935	0.043886693	0.022800513
ENSG00000203942	0.091403778	0.000876563
ENSG00000171160	0.243116912	1.41E-08
ENSG00000119943	0.237247664	2.23E-08
ENSG00000107521	0.042033089	0.025941272
ENSG00000172987	0.241821055	1.56E-08
ENSG00000119946	0.035355572	0.041448145
ENSG00000023839	0.064188961	0.005637339
ENSG00000107554	0.038399546	0.033448938
ENSG00000213341	0.036175926	0.039114981
ENSG00000095485	0.257327754	4.57E-09
ENSG00000196072	0.22688981	4.98E-08
ENSG00000075826	0.298688154	1.53E-10
ENSG00000107819	0.064596033	0.005482525
ENSG00000119915	0.039162231	0.031706435
ENSG00000138111	0.112208218	0.000209121
ENSG00000138175	0.105748114	0.000326863
ENSG00000156398	0.04944906	0.015510155
ENSG00000214435	0.450552181	8.98E-17
ENSG00000173915	0.048542939	0.016511949
ENSG00000107957	0.08543409	0.00131936
ENSG00000065613	0.036086386	0.039362896
ENSG00000065621	0.141166491	2.76E-05
ENSG00000165806	0.441069439	2.45E-16
ENSG00000095627	0.038717933	0.032709838
ENSG00000165832	0.064686154	0.005448832
ENSG00000175535	0.074894619	0.002712031
ENSG00000187021	0.034695095	0.043431142
ENSG00000165650	0.323766367	1.79E-11
ENSG00000151893	0.083188822	0.001538426
ENSG00000183605	0.420012881	2.14E-15
ENSG00000120008	0.258128094	4.28E-09
ENSG00000138162	0.092535492	0.000811107
ENSG00000138152	0.317710097	3.02E-11
ENSG00000254636	0.069456294	0.003932542
ENSG00000119965	0.041144089	0.027601458
ENSG00000196177	0.057091125	0.009167256
ENSG00000182022	0.037570508	0.035455279
ENSG00000065154	0.054926047	0.010636668
ENSG00000203791	0.312715116	4.65E-11
ENSG00000188690	0.204099026	2.82E-07
ENSG00000170430	0.351520729	1.51E-12
ENSG00000175470	0.182919138	1.36E-06
ENSG00000151640	0.334101625	7.20E-12
ENSG00000165752	0.069906611	0.003813367
ENSG00000171798	0.072842768	0.003120174
ENSG00000151651	0.135547371	4.10E-05
ENSG00000130643	0.083821045	0.001473313
ENSG00000148803	0.069549795	0.003907494
ENSG00000148824	0.115736757	0.000163733
ENSG00000130649	0.0591597	0.00795478
ENSG00000142082	0.041971983	0.026052041
ENSG00000185627	0.051905036	0.013093771
ENSG00000142102	0.338864525	4.72E-12
ENSG00000206013	0.069380738	0.0039529
ENSG00000185187	0.266231133	2.23E-09
ENSG00000023191	0.061059453	0.006983945
ENSG00000174775	0.061422505	0.006812451
ENSG00000161328	0.149310214	1.55E-05
ENSG00000099849	0.033602027	0.046932029
ENSG00000070047	0.246672181	1.06E-08
ENSG00000177106	0.079242944	0.002014864
ENSG00000177042	0.297143568	1.75E-10
ENSG00000177030	0.051035063	0.013902698
ENSG00000177600	0.203092525	3.04E-07
ENSG00000177697	0.050578834	0.014346974
ENSG00000078902	0.062705645	0.006239562
ENSG00000021762	0.037396378	0.035892223
ENSG00000005801	0.059379508	0.007835834
ENSG00000167311	0.168121475	4.01E-06
ENSG00000167325	0.070683585	0.003616183
ENSG00000121236	0.203873275	2.87E-07
ENSG00000110169	0.039040977	0.031977091
ENSG00000110171	0.075254753	0.002646112
ENSG00000132254	0.071429354	0.003436526
ENSG00000166341	0.050638148	0.01428841
ENSG00000175390	0.064546916	0.005500976
ENSG00000130413	0.182327018	1.42E-06
ENSG00000166436	0.375299771	1.68E-13
ENSG00000166441	0.049839708	0.015097509
ENSG00000166444	0.035295042	0.041625908
ENSG00000166452	0.126484766	7.74E-05
ENSG00000175356	0.040945916	0.027986156
ENSG00000205339	0.060057046	0.007480343
ENSG00000166478	0.078550424	0.002112525
ENSG00000148926	0.154910017	1.04E-05
ENSG00000110328	0.039945643	0.030013582
ENSG00000050165	0.062860965	0.006173585
ENSG00000188487	0.060100773	0.007457966
ENSG00000110696	0.067660195	0.004446177
ENSG00000011405	0.109140104	0.000258588
ENSG00000166788	0.100590549	0.000466373
ENSG00000173432	0.057845484	0.008704889
ENSG00000166796	0.386017428	6.07E-14
ENSG00000179119	0.050935833	0.013998126
ENSG00000110786	0.132913928	4.93E-05
ENSG00000129173	0.037056503	0.036761155
ENSG00000109854	0.051028292	0.013909189
ENSG00000171714	0.250220471	8.04E-09
ENSG00000198168	0.190904192	7.55E-07
ENSG00000187398	0.038966089	0.032145438
ENSG00000152219	0.131831794	5.32E-05
ENSG00000049449	0.060333679	0.007339908
ENSG00000135378	0.034851686	0.04295227
ENSG00000176148	0.067034641	0.004640433
ENSG00000085063	0.084732688	0.001384229
ENSG00000110429	0.033730637	0.046505324
ENSG00000135387	0.081654937	0.001708574
ENSG00000121691	0.096157945	0.00063255
ENSG00000149089	0.461669407	2.71E-17
ENSG00000166352	0.0572544	0.009065125
ENSG00000149084	0.43872256	3.13E-16
ENSG00000110455	0.491117687	1.01E-18
