geneid	gene_name	proteinid	protein_size	protein_desc
ENSG00000107959	PITRM1	ENSP00000370377	1038	Presequence protease, mitochondrial; ATP-independent protease that degrades mitochondrial transit peptides after their cleavage. Also degrades other unstructured peptides. Specific for peptides in the range of 10 to 65 residues. Able to degrade amyloid beta A4 (APP) protein when it accumulates in mitochondrion, suggesting a link with Alzheimer disease. Shows a preference for cleavage after small polar residues and before basic residues, but without any positional preference; Belongs to the peptidase M16 family. PreP subfamily
ENSG00000151632	AKR1C2	ENSP00000370129	323	Aldo-keto reductase family 1 member C2; Works in concert with the 5-alpha/5-beta-steroid reductases to convert steroid hormones into the 3-alpha/5-alpha and 3-alpha/5-beta-tetrahydrosteroids. Catalyzes the inactivation of the most potent androgen 5-alpha-dihydrotestosterone (5-alpha- DHT) to 5-alpha-androstane-3-alpha,17-beta-diol (3-alpha-diol). Has a high bile-binding ability
ENSG00000196372	ASB13	ENSP00000350331	278	Ankyrin repeat and SOCS box protein 13; May be a substrate-recognition component of a SCF-like ECS (Elongin-Cullin-SOCS-box protein) E3 ubiquitin-protein ligase complex which mediates the ubiquitination and subsequent proteasomal degradation of target proteins; Ankyrin repeat domain containing
ENSG00000108021	FAM208B	ENSP00000328426	2430	Protein FAM208B; Family with sequence similarity 208 member B; Belongs to the FAM208 family
ENSG00000057608	GDI2	ENSP00000369538	445	Rab GDP dissociation inhibitor beta; Regulates the GDP/GTP exchange reaction of most Rab proteins by inhibiting the dissociation of GDP from them, and the subsequent binding of GTP to them
ENSG00000134461	ANKRD16	ENSP00000369436	361	Ankyrin repeat domain-containing protein 16; Ankyrin repeat domain containing
ENSG00000151655	ITIH2	ENSP00000351190	946	Inter-alpha-trypsin inhibitor heavy chain H2; May act as a carrier of hyaluronan in serum or as a binding protein between hyaluronan and other matrix protein, including those on cell surfaces in tissues to regulate the localization, synthesis and degradation of hyaluronan which are essential to cells undergoing biological processes; Belongs to the ITIH family
ENSG00000151657	KIN	ENSP00000368881	393	DNA/RNA-binding protein KIN17; Involved in DNA replication and the cellular response to DNA damage. May participate in DNA replication factories and create a bridge between DNA replication and repair mediated by high molecular weight complexes. May play a role in illegitimate recombination and regulation of gene expression. May participate in mRNA processing. Binds, in vitro, to double-stranded DNA. Also shown to bind preferentially to curved DNA in vitro and in vivo (By similarity). Binds via its C-terminal domain to RNA in vitro; Belongs to the KIN17 family
ENSG00000148429	USP6NL	ENSP00000277575	845	USP6 N-terminal-like protein; Acts as a GTPase-activating protein for RAB5A and RAB43. Involved in receptor trafficking. In complex with EPS8 inhibits internalization of EGFR. Involved in retrograde transport from the endocytic pathway to the Golgi apparatus. Involved in the transport of Shiga toxin from early and recycling endosomes to the trans-Golgi network. Required for structural integrity of the Golgi complex
ENSG00000134463	ECHDC3	ENSP00000368517	303	Enoyl-CoA hydratase domain-containing protein 3, mitochondrial; enoyl-CoA hydratase domain containing 3; Belongs to the enoyl-CoA hydratase/isomerase family
ENSG00000065665	SEC61A2	ENSP00000298428	476	Protein transport protein Sec61 subunit alpha isoform 2; Appears to play a crucial role in the insertion of secretory and membrane polypeptides into the ER. It is required for assembly of membrane and secretory proteins. Found to be tightly associated with membrane-bound ribosomes, either directly or through adaptor proteins (By similarity); Belongs to the SecY/SEC61-alpha family
ENSG00000183049	CAMK1D	ENSP00000478874	385	Calcium/calmodulin-dependent protein kinase type 1D; Calcium/calmodulin-dependent protein kinase that operates in the calcium-triggered CaMKK-CaMK1 signaling cascade and, upon calcium influx, activates CREB-dependent gene transcription, regulates calcium-mediated granulocyte function and respiratory burst and promotes basal dendritic growth of hippocampal neurons. In neutrophil cells, required for cytokine- induced proliferative responses and activation of the respiratory burst. Activates the transcription factor CREB1 in hippocampal neuron nuclei. May play a role in apoptosis of eryth [...] 
ENSG00000065328	MCM10	ENSP00000418268	875	Protein MCM10 homolog; Acts as a replication initiation factor that brings together the MCM2-7 helicase and the DNA polymerase alpha/primase complex in order to initiate DNA replication. Additionally, plays a role in preventing DNA damage during replication. Key effector of the RBBP6 and ZBTB38-mediated regulation of DNA-replication and common fragile sites stability; acts as a direct target of transcriptional repression by ZBTB38; Belongs to the MCM10 family
ENSG00000065809	FAM107B	ENSP00000181796	306	Protein FAM107B; Family with sequence similarity 107 member B
